Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
Sales Area (Home Base: Jakarta),PT Berkat Indo-Opple Gemilang,Jakarta Utara,"Rp7,599,296"
CX Design Journey & Process,PT XL Axiata Tbk,Kebayoran Lama,"Rp6,273,050"
Dokter Estetika,Ahava Prime Skincare,Tarakan,"Rp12,500,000"
Digital Marketing,PT Akarsa Garment Indonesia,Jakarta Selatan,"Rp5,975,000"
F&B Retail Manager,PT Garuda Mitra Sejati,DI Yogyakarta,"Rp10,284,787"
Chief Project Development Officer (Coal mining Company),Pengiklan Anonim,Jakarta Selatan,"Rp9,155,102"
Salesman / Girl,CV. ARTHA LIMAS SENTOSA,Tangerang,"Rp6,250,000"
SUPIR,PT Subaindo Cahaya Polintraco,Malang,"Rp3,527,500"
Sales Promoter Team Leader - Kupang,PT Indodana Multi Finance,Kupang,"Rp6,355,937"
B2B Sales Officer,PT Allo Fresh Indonesia,Jakarta Raya,"Rp4,973,939"
Lead Response Representative,EUROMEDICA GROUP,Jakarta Selatan,"Rp6,405,440"
Assistant Accounting Tax Manager,PT Telmark Integrasi Indonesia,Jakarta Barat,"Rp11,969,098"
Kepala Cabang/Team Leader Ngada - NTT,PT Amartha Mikro Fintek (Jakarta),Indonesia,"Rp7,726,331"
Service Manager,PT.X-motors Internasional Group,Jakarta Raya,"Rp11,831,649"
Beauty Advisor Team Leader (Yogyakarta),SKINTIFIC,DI Yogyakarta,"Rp5,643,958"
Drafter Packaging,Dexa Group,Tangerang Selatan,"Rp5,490,363"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
B2B Consultant,PT. Gree Electric Appliances Indonesia,DI Yogyakarta,"Rp6,750,000"
"Key Account Manager, Product Assembly Industry",Nordson Advanced Technology Singapore,Jakarta Raya,"Rp13,111,060"
Digital Marketing Specialist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,"Rp6,754,938"
Quality Control Supervisor,PT. Master Kidz Indonesia,Kabupaten Kendal,"Rp5,430,653"
HR&GA Manager,pt.anugerah megah lestari textile,Kabupaten Bandung,"Rp12,728,256"
Corporate Communication Supervisor,Hanwha Life Insurance Indonesia,Jakarta Selatan,"Rp7,075,260"
Affilate & MCN Specialist,PT. JIMSHONEY INDONESIA PRATAMA,Jakarta Utara,"Rp6,750,000"
Admin Asset Management - Branch Tanjung,"PT. BFI FINANCE INDONESIA, Tbk",Tabalong,"Rp4,493,266"
Assistant Sales Staff (YL Serang 2),PT. Yakult Indonesia Persada,Pandeglang,"Rp5,224,017"
Relationship Officer BCA Finance - Penempatan Malang,PT BCA Finance,Malang,"Rp4,951,447"
HRD MANAGER,PT SUMMIT TRAVEL GOODS,Jepara,"Rp8,000,000"
Tax executive,PT Planet Chemicals (Subsidiary of Planet Asia Singapore),Tangerang,"Rp5,916,537"
Sales / Account Advisor,PT RUTAN,Medan,"Rp4,832,492"
Sales Officer Mobile,PT Swapro International,Bandar Lampung,"Rp4,830,006"
Surveyor (BPKB) Penempatan Indramayu,"PT. BFI FINANCE INDONESIA, Tbk",Indramayu,"Rp5,250,246"
Tenaga Teknis Kefarmasian,RS Tria Dipa,Jakarta Selatan,"Rp6,208,842"
